"","Location","Kappa*100","Beta","Effective N (thousand)","R0","R(t)","Deviance"
"1","Anhui","0.74 (0.30, 1.18)","0.35 (0.29, 0.40)","1.68 (1.50, 1.94)","3.88 (3.21, 4.50)","1.50 (1.37, 1.62)","142.80 (138.72, 150.88)"
"2","Beijing","0.80 (0.07, 1.73)","0.30 (0.19, 0.39)","0.70 (0.58, 1.04)","3.38 (2.06, 4.38)","1.32 (1.11, 1.51)","128.50 (124.66, 136.60)"
"3","Chongqing","1.57 (0.97, 2.14)","0.20 (0.12, 0.28)","1.35 (0.95, 2.34)","2.20 (1.34, 3.13)","1.13 (0.94, 1.29)","133.25 (129.21, 140.66)"
"4","Fujian","1.96 (0.77, 2.98)","0.15 (0.07, 0.25)","0.92 (0.51, 2.44)","1.70 (0.77, 2.81)","0.93 (0.63, 1.17)","123.28 (119.34, 130.75)"
"5","Gansu","1.21 (0.33, 2.37)","0.21 (0.09, 0.36)","0.33 (0.16, 1.01)","2.29 (0.97, 3.98)","1.13 (0.73, 1.52)","101.82 (97.87, 109.11)"
"6","Guangdong","0.91 (0.46, 1.34)","0.38 (0.34, 0.43)","2.02 (1.92, 2.14)","4.27 (3.82, 4.76)","1.10 (1.01, 1.19)","143.57 (139.65, 151.45)"
"7","Guangxi Zhuang","1.08 (0.47, 1.74)","0.19 (0.11, 0.30)","0.83 (0.43, 2.09)","2.13 (1.17, 3.31)","1.26 (0.99, 1.50)","110.07 (105.94, 117.33)"
"8","Guizhou","0.35 (0.05, 0.84)","0.27 (0.19, 0.38)","0.67 (0.28, 1.41)","2.98 (2.13, 4.20)","2.08 (1.69, 2.48)","108.20 (104.92, 114.66)"
"9","Hainan","0.53 (0.12, 1.18)","0.19 (0.12, 0.30)","0.84 (0.33, 1.77)","2.14 (1.35, 3.36)","1.48 (1.14, 1.81)","109.67 (106.46, 116.30)"
"10","Hebei","0.59 (0.24, 1.17)","0.18 (0.13, 0.27)","1.58 (0.64, 2.96)","2.05 (1.47, 2.99)","1.53 (1.23, 1.82)","123.42 (120.10, 130.84)"
"11","Heilongjiang","0.44 (0.02, 1.17)","0.44 (0.31, 0.56)","0.66 (0.55, 0.88)","4.93 (3.44, 6.18)","1.70 (1.40, 2.01)","140.68 (136.41, 149.75)"
"12","Henan","1.14 (0.73, 1.56)","0.33 (0.28, 0.38)","2.15 (1.97, 2.40)","3.71 (3.12, 4.26)","1.30 (1.20, 1.40)","148.67 (144.63, 157.17)"
