"","Location","Kappa*100","Beta","Effective N (thousand)","R0","R(t)","Deviance"
"1","Anhui","0.00 (0.00, 0.00)","0.42 (0.38, 0.46)","1.53 (1.41, 1.69)","4.67 (4.19, 5.14)","1.54 (1.38, 1.70)","150.76 (147.75, 157.57)"
"2","Beijing","0.00 (0.00, 0.00)","0.37 (0.32, 0.43)","0.62 (0.56, 0.71)","4.17 (3.59, 4.75)","1.40 (1.21, 1.58)","128.32 (125.29, 135.10)"
"3","Chongqing","0.00 (0.00, 0.00)","0.37 (0.31, 0.43)","0.89 (0.78, 1.06)","4.09 (3.42, 4.78)","1.30 (1.07, 1.55)","146.81 (143.69, 154.17)"
"4","Fujian","0.00 (0.00, 0.00)","0.38 (0.29, 0.47)","0.47 (0.40, 0.60)","4.21 (3.26, 5.23)","1.26 (0.93, 1.60)","139.05 (135.96, 146.05)"
"5","Gansu","0.00 (0.00, 0.00)","0.36 (0.25, 0.46)","0.19 (0.14, 0.31)","4.00 (2.75, 5.13)","1.32 (0.85, 1.82)","105.43 (102.06, 113.75)"
"6","Guangdong","0.00 (0.00, 0.00)","0.45 (0.42, 0.49)","1.92 (1.83, 2.02)","5.04 (4.65, 5.45)","1.10 (0.97, 1.24)","155.93 (152.89, 162.70)"
"7","Guangxi Zhuang","0.00 (0.00, 0.00)","0.35 (0.28, 0.41)","0.43 (0.36, 0.55)","3.87 (3.11, 4.56)","1.50 (1.27, 1.75)","117.70 (114.33, 126.45)"
"8","Guizhou","0.00 (0.00, 0.00)","0.33 (0.25, 0.44)","0.54 (0.25, 1.39)","3.65 (2.77, 4.91)","2.30 (1.80, 2.73)","110.82 (107.11, 117.27)"
"9","Hainan","0.00 (0.00, 0.00)","0.29 (0.21, 0.37)","0.46 (0.29, 1.21)","3.25 (2.36, 4.06)","1.72 (1.38, 2.09)","112.68 (108.84, 121.01)"
"10","Hebei","0.00 (0.00, 0.00)","0.30 (0.22, 0.39)","0.86 (0.48, 2.44)","3.36 (2.43, 4.34)","1.88 (1.48, 2.29)","135.09 (131.42, 142.72)"
"11","Heilongjiang","0.00 (0.00, 0.00)","0.49 (0.39, 0.58)","0.62 (0.54, 0.76)","5.43 (4.38, 6.46)","1.74 (1.42, 2.06)","139.37 (136.21, 146.62)"
"12","Henan","0.00 (0.00, 0.00)","0.43 (0.39, 0.49)","1.94 (1.79, 2.13)","4.83 (4.29, 5.41)","1.35 (1.17, 1.54)","166.44 (163.36, 173.39)"
"13","Hubei","0.00 (0.00, 0.00)","0.45 (0.42, 0.49)","58.20 (54.33, 62.92)","5.03 (4.66, 5.42)","1.81 (1.68, 1.95)","268.32 (265.24, 275.36)"
"14","Hunan","0.00 (0.00, 0.00)","0.40 (0.34, 0.46)","1.76 (1.57, 2.03)","4.40 (3.73, 5.06)","1.23 (0.97, 1.49)","168.88 (165.75, 175.90)"
"15","Inner Mongolia","0.00 (0.00, 0.00)","0.38 (0.29, 0.46)","0.11 (0.09, 0.16)","4.18 (3.21, 5.12)","1.68 (1.38, 1.99)","73.76 (70.56, 81.04)"
"16","Jiangsu","0.00 (0.00, 0.00)","0.39 (0.33, 0.45)","0.99 (0.88, 1.18)","4.39 (3.72, 5.03)","1.40 (1.15, 1.66)","144.03 (140.82, 151.68)"
"17","Jiangxi","0.00 (0.00, 0.00)","0.46 (0.39, 0.53)","1.36 (1.22, 1.55)","5.13 (4.28, 5.94)","1.33 (1.06, 1.61)","165.74 (162.69, 172.42)"
"18","Jilin","0.00 (0.00, 0.00)","0.54 (0.43, 0.65)","0.13 (0.12, 0.15)","5.99 (4.80, 7.18)","1.19 (0.79, 1.59)","88.19 (84.98, 95.50)"
"19","Liaoning","0.00 (0.00, 0.00)","0.37 (0.24, 0.48)","0.21 (0.17, 0.35)","4.15 (2.67, 5.30)","1.23 (0.86, 1.70)","110.93 (107.27, 121.97)"
"20","Ningxia Hui","0.00 (0.00, 0.00)","0.30 (0.20, 0.41)","0.22 (0.11, 0.68)","3.31 (2.26, 4.52)","1.67 (1.06, 2.26)","85.74 (81.86, 92.80)"
"21","Qinghai","0.00 (0.00, 0.00)","0.39 (0.17, 0.68)","0.07 (0.03, 0.25)","4.36 (1.90, 7.55)","1.36 (0.11, 2.70)","44.00 (39.22, 51.49)"
"22","Shaanxi","0.00 (0.00, 0.00)","0.41 (0.35, 0.47)","0.38 (0.34, 0.43)","4.52 (3.85, 5.23)","1.28 (1.04, 1.52)","118.45 (115.40, 125.48)"
"23","Shandong","0.00 (0.00, 0.00)","0.35 (0.28, 0.42)","1.02 (0.84, 1.37)","3.89 (3.08, 4.64)","1.56 (1.30, 1.85)","150.71 (147.49, 158.98)"
"24","Shanghai","0.00 (0.00, 0.00)","0.44 (0.37, 0.50)","0.50 (0.46, 0.55)","4.85 (4.17, 5.56)","1.26 (1.07, 1.44)","103.46 (100.19, 110.90)"
"25","Shanxi","0.00 (0.00, 0.00)","0.39 (0.32, 0.45)","0.24 (0.21, 0.28)","4.34 (3.61, 5.04)","1.47 (1.22, 1.72)","98.09 (94.84, 105.89)"
"26","Sichuan","0.00 (0.00, 0.00)","0.36 (0.29, 0.43)","0.83 (0.70, 1.09)","4.05 (3.22, 4.83)","1.42 (1.15, 1.71)","145.89 (142.60, 154.17)"
"27","Tianjin","0.00 (0.00, 0.00)","0.27 (0.20, 0.37)","0.43 (0.19, 1.13)","3.02 (2.20, 4.14)","1.82 (1.39, 2.22)","96.05 (92.20, 102.57)"
"28","Xinjiang Uyghur","0.00 (0.00, 0.00)","0.28 (0.22, 0.36)","0.25 (0.11, 0.58)","3.11 (2.44, 4.06)","2.08 (1.68, 2.43)","75.11 (71.61, 81.77)"
"29","Yunnan","0.00 (0.00, 0.00)","0.47 (0.36, 0.59)","0.23 (0.20, 0.27)","5.28 (4.04, 6.54)","1.07 (0.73, 1.40)","120.32 (117.28, 127.35)"
"30","Zhejiang","0.00 (0.00, 0.00)","0.46 (0.36, 0.56)","1.85 (1.65, 2.13)","5.12 (4.06, 6.26)","1.05 (0.69, 1.38)","190.94 (187.77, 198.03)"
