"","Loc","mean","lower","upper","cs"
"1","Anhui",940,911,979,"940 (95% PrI: 911, 979)"
"2","Beijing",369,353,409,"369 (95% PrI: 353, 409)"
"3","Chongqing",542,508,647,"542 (95% PrI: 508, 647)"
"4","Fujian",292,272,340,"292 (95% PrI: 272, 340)"
"5","Gansu",96,85,125,"96 (95% PrI: 85, 125)"
"6","Guangdong",1208,1195,1225,"1208 (95% PrI: 1195, 1225)"
"7","Guangxi Zhuang",254,228,322,"254 (95% PrI: 228, 322)"
"8","Guizhou",222,148,353,"222 (95% PrI: 148, 353)"
"9","Hainan",206,162,287,"206 (95% PrI: 162, 287)"
"10","Hebei",362,272,494,"362 (95% PrI: 272, 494)"
"11","Heilongjiang",404,377,457,"404 (95% PrI: 377, 457)"
"12","Henan",1165,1141,1197,"1165 (95% PrI: 1141, 1197)"
"13","Hubei",36167,35086,37670,"36167 (95% PrI: 35086, 37670)"
"14","Hunan",966,935,1014,"966 (95% PrI: 935, 1014)"
"15","Inner Mongolia",70,61,95,"70 (95% PrI: 61, 95)"
"16","Jiangsu",571,550,600,"571 (95% PrI: 550, 600)"
"17","Jiangxi",856,824,901,"856 (95% PrI: 824, 901)"
"18","Jilin",83,80,89,"83 (95% PrI: 80, 89)"
"19","Liaoning",122,112,149,"122 (95% PrI: 112, 149)"
"20","Ningxia Hui",73,56,103,"73 (95% PrI: 56, 103)"
"21","Qinghai",20,17,28,"20 (95% PrI: 17, 28)"
"22","Shaanxi",232,224,248,"232 (95% PrI: 224, 248)"
"23","Shandong",589,519,758,"589 (95% PrI: 519, 758)"
"24","Shanghai",316,308,330,"316 (95% PrI: 308, 330)"
"25","Shanxi",133,126,145,"133 (95% PrI: 126, 145)"
"26","Sichuan",473,443,550,"473 (95% PrI: 443, 550)"
"27","Tianjin",148,112,215,"148 (95% PrI: 112, 215)"
"28","Xinjiang Uyghur",97,67,134,"97 (95% PrI: 67, 134)"
"29","Yunnan",155,150,167,"155 (95% PrI: 150, 167)"
"30","Zhejiang",1129,1096,1199,"1129 (95% PrI: 1096, 1199)"
