"","Location","Kappa*100::D11","Beta::D11","Effective N (thousand)::D11","R0::D11","R(t)::D11","Deviance::D11","Kappa*100::D6","Beta::D6","Effective N (thousand)::D6","R0::D6","R(t)::D6","Deviance::D6","Kappa*100::D22","Beta::D22","Effective N (thousand)::D22","R0::D22","R(t)::D22","Deviance::D22"
"1","Anhui","0.74 (0.30, 1.18)","0.35 (0.29, 0.40)","1.68 (1.50, 1.94)","3.88 (3.21, 4.50)","1.50 (1.37, 1.62)","142.80 (138.72, 150.88)","0.59 (0.24, 0.90)","0.46 (0.39, 0.53)","2.11 (1.86, 2.52)","2.77 (2.36, 3.15)","1.41 (1.34, 1.49)","142.69 (138.74, 151.30)","0.85 (0.33, 1.36)","0.29 (0.24, 0.34)","1.43 (1.31, 1.60)","6.38 (5.27, 7.49)","1.79 (1.56, 2.03)","142.58 (138.70, 150.47)"
"2","Beijing","0.80 (0.07, 1.73)","0.30 (0.19, 0.39)","0.70 (0.58, 1.04)","3.38 (2.06, 4.38)","1.32 (1.11, 1.51)","128.50 (124.66, 136.60)","0.63 (0.05, 1.29)","0.40 (0.25, 0.51)","0.95 (0.72, 1.73)","2.42 (1.53, 3.06)","1.29 (1.12, 1.42)","128.70 (124.67, 137.58)","1.03 (0.08, 2.16)","0.24 (0.11, 0.33)","0.60 (0.50, 0.90)","5.26 (2.40, 7.30)","1.48 (1.12, 1.81)","128.78 (124.72, 137.60)"
"3","Chongqing","1.57 (0.97, 2.14)","0.20 (0.12, 0.28)","1.35 (0.95, 2.34)","2.20 (1.34, 3.13)","1.13 (0.94, 1.29)","133.25 (129.21, 140.66)","1.06 (0.50, 1.52)","0.29 (0.19, 0.39)","2.14 (1.24, 5.53)","1.73 (1.14, 2.34)","1.13 (0.98, 1.26)","133.71 (129.23, 142.02)","1.95 (1.08, 2.69)","0.15 (0.06, 0.23)","1.08 (0.79, 2.23)","3.29 (1.29, 5.07)","1.25 (0.89, 1.52)","133.52 (129.36, 141.34)"
"4","Fujian","1.96 (0.77, 2.98)","0.15 (0.07, 0.25)","0.92 (0.51, 2.44)","1.70 (0.77, 2.81)","0.93 (0.63, 1.17)","123.28 (119.34, 130.75)","1.41 (0.73, 2.08)","0.25 (0.16, 0.35)","1.23 (0.67, 2.62)","1.47 (0.99, 2.11)","1.00 (0.83, 1.16)","122.96 (119.32, 129.99)","2.45 (0.71, 3.86)","0.10 (0.01, 0.21)","0.81 (0.42, 2.63)","2.22 (0.28, 4.61)","0.90 (0.23, 1.32)","123.64 (119.45, 130.97)"
"5","Gansu","1.21 (0.33, 2.37)","0.21 (0.09, 0.36)","0.33 (0.16, 1.01)","2.29 (0.97, 3.98)","1.13 (0.73, 1.52)","101.82 (97.87, 109.11)","0.92 (0.25, 1.76)","0.31 (0.19, 0.49)","0.40 (0.20, 1.03)","1.87 (1.16, 2.91)","1.15 (0.92, 1.39)","101.51 (97.90, 108.45)","1.50 (0.35, 2.96)","0.15 (0.03, 0.30)","0.28 (0.14, 0.94)","3.36 (0.75, 6.59)","1.22 (0.52, 1.89)","101.93 (97.91, 109.25)"
"6","Guangdong","0.91 (0.46, 1.34)","0.38 (0.34, 0.43)","2.02 (1.92, 2.14)","4.27 (3.82, 4.76)","1.10 (1.01, 1.19)","143.57 (139.65, 151.45)","0.73 (0.36, 1.06)","0.50 (0.46, 0.55)","2.48 (2.33, 2.65)","3.02 (2.74, 3.32)","1.20 (1.15, 1.24)","143.49 (139.53, 151.43)","1.06 (0.50, 1.59)","0.32 (0.28, 0.36)","1.75 (1.68, 1.83)","7.10 (6.19, 7.94)","1.01 (0.84, 1.18)","143.71 (139.76, 151.51)"
"7","Guangxi Zhuang","1.08 (0.47, 1.74)","0.19 (0.11, 0.30)","0.83 (0.43, 2.09)","2.13 (1.17, 3.31)","1.26 (0.99, 1.50)","110.07 (105.94, 117.33)","0.81 (0.40, 1.27)","0.29 (0.21, 0.41)","1.02 (0.55, 2.20)","1.75 (1.25, 2.45)","1.22 (1.05, 1.38)","109.78 (105.91, 117.28)","1.37 (0.48, 2.23)","0.14 (0.05, 0.24)","0.69 (0.36, 2.13)","3.05 (1.12, 5.26)","1.45 (0.92, 1.84)","110.09 (105.91, 117.83)"
"8","Guizhou","0.35 (0.05, 0.84)","0.27 (0.19, 0.38)","0.67 (0.28, 1.41)","2.98 (2.13, 4.20)","2.08 (1.69, 2.48)","108.20 (104.92, 114.66)","0.28 (0.04, 0.63)","0.38 (0.30, 0.51)","0.76 (0.34, 1.44)","2.29 (1.81, 3.05)","1.73 (1.50, 1.95)","108.05 (104.90, 114.34)","0.42 (0.06, 1.00)","0.21 (0.14, 0.31)","0.60 (0.24, 1.41)","4.60 (3.01, 6.89)","2.96 (2.24, 3.71)","108.20 (104.95, 114.77)"
"9","Hainan","0.53 (0.12, 1.18)","0.19 (0.12, 0.30)","0.84 (0.33, 1.77)","2.14 (1.35, 3.36)","1.48 (1.14, 1.81)","109.67 (106.46, 116.30)","0.42 (0.10, 0.84)","0.30 (0.22, 0.42)","0.93 (0.42, 1.78)","1.81 (1.35, 2.52)","1.36 (1.15, 1.56)","109.54 (106.43, 116.27)","0.69 (0.17, 1.51)","0.14 (0.06, 0.24)","0.72 (0.28, 1.75)","2.99 (1.42, 5.29)","1.80 (1.16, 2.41)","109.69 (106.43, 116.68)"
"10","Hebei","0.59 (0.24, 1.17)","0.18 (0.13, 0.27)","1.58 (0.64, 2.96)","2.05 (1.47, 2.99)","1.53 (1.23, 1.82)","123.42 (120.10, 130.84)","0.48 (0.22, 0.90)","0.29 (0.23, 0.37)","1.76 (0.83, 2.98)","1.73 (1.40, 2.24)","1.38 (1.19, 1.57)","123.47 (120.06, 131.44)","0.73 (0.27, 1.46)","0.13 (0.08, 0.21)","1.37 (0.54, 2.91)","2.80 (1.72, 4.56)","1.93 (1.42, 2.44)","123.30 (120.05, 130.39)"
"11","Heilongjiang","0.44 (0.02, 1.17)","0.44 (0.31, 0.56)","0.66 (0.55, 0.88)","4.93 (3.44, 6.18)","1.70 (1.40, 2.01)","140.68 (136.41, 149.75)","0.35 (0.02, 0.93)","0.57 (0.44, 0.69)","0.79 (0.65, 1.07)","3.44 (2.61, 4.16)","1.57 (1.40, 1.76)","140.48 (136.43, 148.45)","0.50 (0.02, 1.30)","0.38 (0.26, 0.48)","0.58 (0.49, 0.74)","8.27 (5.62, 10.57)","2.12 (1.49, 2.72)","140.66 (136.55, 149.15)"
"12","Henan","1.14 (0.73, 1.56)","0.33 (0.28, 0.38)","2.15 (1.97, 2.40)","3.71 (3.12, 4.26)","1.30 (1.20, 1.40)","148.67 (144.63, 157.17)","0.90 (0.57, 1.22)","0.44 (0.38, 0.50)","2.72 (2.44, 3.10)","2.66 (2.31, 2.99)","1.29 (1.22, 1.35)","148.81 (144.72, 157.89)","1.35 (0.83, 1.83)","0.28 (0.23, 0.32)","1.83 (1.71, 1.99)","6.07 (5.09, 7.10)","1.44 (1.25, 1.64)","148.68 (144.65, 157.14)"
"13","Hubei","0.32 (0.05, 0.62)","0.42 (0.37, 0.46)","60.83 (55.81, 67.70)","4.64 (4.08, 5.14)","1.79 (1.67, 1.91)","266.06 (262.13, 273.95)","0.26 (0.03, 0.51)","0.54 (0.48, 0.59)","74.46 (67.58, 84.25)","3.24 (2.89, 3.56)","1.62 (1.55, 1.68)","266.07 (262.16, 273.89)","0.36 (0.06, 0.73)","0.35 (0.31, 0.40)","52.78 (49.12, 57.89)","7.80 (6.78, 8.70)","2.29 (2.06, 2.53)","265.87 (262.16, 273.77)"
"14","Hunan","1.31 (0.80, 1.76)","0.28 (0.22, 0.34)","2.06 (1.78, 2.46)","3.08 (2.46, 3.76)","1.18 (1.04, 1.32)","152.26 (148.27, 159.97)","1.00 (0.63, 1.33)","0.38 (0.31, 0.45)","2.68 (2.26, 3.34)","2.28 (1.88, 2.69)","1.20 (1.11, 1.28)","152.17 (148.24, 160.51)","1.57 (0.97, 2.14)","0.22 (0.17, 0.28)","1.71 (1.52, 1.99)","4.91 (3.68, 6.19)","1.27 (1.00, 1.50)","152.21 (148.25, 160.57)"
"15","Inner Mongolia","0.82 (0.09, 1.74)","0.27 (0.13, 0.40)","0.17 (0.10, 0.51)","2.98 (1.48, 4.48)","1.52 (1.15, 1.84)","73.63 (69.81, 81.26)","0.64 (0.07, 1.31)","0.37 (0.23, 0.53)","0.23 (0.12, 0.57)","2.19 (1.39, 3.18)","1.39 (1.14, 1.59)","73.74 (69.80, 81.29)","1.01 (0.12, 2.11)","0.20 (0.07, 0.33)","0.16 (0.09, 0.50)","4.38 (1.59, 7.29)","1.87 (1.25, 2.46)","74.03 (69.82, 81.52)"
"16","Jiangsu","1.15 (0.83, 1.44)","0.28 (0.23, 0.32)","1.20 (1.05, 1.39)","3.08 (2.60, 3.58)","1.34 (1.24, 1.45)","119.89 (115.97, 127.88)","0.89 (0.67, 1.10)","0.38 (0.33, 0.42)","1.59 (1.36, 1.95)","2.25 (1.95, 2.55)","1.29 (1.23, 1.35)","119.87 (115.90, 127.72)","1.40 (1.02, 1.74)","0.22 (0.18, 0.26)","1.00 (0.89, 1.16)","4.86 (3.90, 5.82)","1.57 (1.37, 1.77)","120.01 (116.04, 128.41)"
"17","Jiangxi","1.03 (0.34, 1.75)","0.37 (0.28, 0.46)","1.48 (1.29, 1.83)","4.14 (3.09, 5.14)","1.30 (1.09, 1.50)","159.83 (155.77, 168.55)","0.83 (0.27, 1.37)","0.49 (0.39, 0.59)","1.83 (1.55, 2.28)","2.93 (2.33, 3.56)","1.31 (1.19, 1.42)","159.78 (155.83, 167.72)","1.21 (0.36, 2.05)","0.31 (0.23, 0.39)","1.27 (1.14, 1.48)","6.87 (5.05, 8.68)","1.41 (0.99, 1.82)","159.85 (155.90, 167.81)"
"18","Jilin","0.46 (0.02, 1.42)","0.50 (0.36, 0.62)","0.14 (0.12, 0.16)","5.52 (3.99, 6.89)","1.20 (0.80, 1.57)","89.89 (85.49, 98.11)","0.39 (0.01, 1.22)","0.62 (0.45, 0.77)","0.17 (0.14, 0.22)","3.74 (2.68, 4.59)","1.31 (1.10, 1.52)","90.04 (85.52, 99.02)","0.52 (0.02, 1.63)","0.43 (0.30, 0.54)","0.12 (0.11, 0.14)","9.36 (6.50, 11.79)","1.12 (0.39, 1.87)","89.90 (85.47, 98.42)"
"19","Liaoning","1.67 (0.56, 3.18)","0.17 (0.05, 0.33)","0.44 (0.19, 1.22)","1.86 (0.60, 3.68)","0.94 (0.50, 1.31)","106.65 (102.57, 113.63)","1.27 (0.44, 2.30)","0.28 (0.15, 0.47)","0.50 (0.23, 1.28)","1.69 (0.91, 2.82)","1.04 (0.78, 1.28)","106.28 (102.62, 113.18)","2.17 (0.57, 4.05)","0.13 (0.01, 0.30)","0.34 (0.16, 1.17)","2.79 (0.28, 6.49)","0.93 (0.21, 1.50)","106.64 (102.58, 113.70)"
