"","Location","Kappa * 100","Beta","Effective population size (thousand)","R0","R(t)","Deviance","BF","DIC.BassSIR","DIC.SIR"
"1","Anhui","0.74 (0.31, 1.15)","0.35 (0.29, 0.40)","1.67 (1.51, 1.91)","3.88 (3.27, 4.50)","1.49 (1.39, 1.60)","142.63 (138.74, 150.69)",72.35,147.57,154.5
"2","Beijing","0.83 (0.07, 1.72)","0.30 (0.16, 0.39)","0.74 (0.58, 1.20)","3.29 (1.81, 4.34)","1.31 (1.08, 1.49)","128.74 (124.73, 137.47)",1.09,134.48,132.58
"3","Chongqing","1.52 (0.70, 2.13)","0.20 (0.11, 0.29)","1.43 (0.95, 3.55)","2.20 (1.18, 3.19)","1.14 (0.92, 1.31)","133.55 (129.31, 141.65)",943.94,139.05,150.82
"4","Fujian","1.95 (0.85, 2.98)","0.15 (0.07, 0.25)","0.92 (0.51, 2.26)","1.69 (0.76, 2.82)","0.93 (0.61, 1.17)","123.27 (119.36, 130.50)",3272.51,127.5,144.03
"5","Gansu","1.25 (0.39, 2.39)","0.21 (0.09, 0.35)","0.30 (0.16, 0.77)","2.31 (1.00, 3.88)","1.13 (0.74, 1.48)","101.64 (97.90, 108.44)",6.6,105.64,110.21
"6","Guangdong","0.91 (0.46, 1.34)","0.38 (0.34, 0.43)","2.02 (1.92, 2.13)","4.28 (3.81, 4.76)","1.13 (1.06, 1.20)","143.58 (139.58, 151.62)",590.18,148.82,159.43
"7","Guangxi Zhuang","1.12 (0.50, 1.75)","0.20 (0.11, 0.30)","0.75 (0.43, 1.84)","2.18 (1.25, 3.31)","1.26 (1.01, 1.48)","109.76 (105.80, 117.44)",54.75,114.36,121.56
"8","Guizhou","0.36 (0.05, 0.86)","0.27 (0.20, 0.38)","0.63 (0.28, 1.27)","3.02 (2.20, 4.27)","2.09 (1.74, 2.46)","108.15 (104.95, 115.14)",3.16,111.7,114.04
"9","Hainan","0.56 (0.13, 1.15)","0.20 (0.13, 0.31)","0.74 (0.33, 1.48)","2.20 (1.40, 3.44)","1.48 (1.14, 1.81)","109.56 (106.45, 116.23)",3.45,112.89,117.37
"10","Hebei","0.65 (0.28, 1.21)","0.19 (0.14, 0.28)","1.36 (0.62, 2.41)","2.11 (1.53, 3.07)","1.53 (1.24, 1.80)","123.43 (120.07, 130.89)",302.16,127.7,139.44
"11","Heilongjiang","0.44 (0.02, 1.17)","0.44 (0.30, 0.55)","0.67 (0.55, 0.92)","4.90 (3.36, 6.17)","1.75 (1.51, 2.01)","140.75 (136.47, 149.59)",0.68,147.16,143.39
"12","Henan","1.14 (0.71, 1.53)","0.33 (0.28, 0.38)","2.15 (1.97, 2.39)","3.71 (3.16, 4.27)","1.30 (1.22, 1.39)","148.77 (144.64, 157.21)",9029.76,154.34,170.2
"13","Hubei","0.31 (0.05, 0.61)","0.42 (0.37, 0.46)","60.61 (55.86, 67.09)","4.66 (4.13, 5.16)","1.80 (1.70, 1.90)","265.96 (262.19, 273.59)",3.65,270.65,271.62
"14","Hunan","1.31 (0.85, 1.76)","0.28 (0.22, 0.34)","2.07 (1.79, 2.52)","3.06 (2.41, 3.73)","1.20 (1.08, 1.31)","152.21 (148.24, 160.45)",4984.29,157.33,172.66
"15","Inner Mongolia","0.82 (0.09, 1.71)","0.26 (0.13, 0.39)","0.17 (0.10, 0.46)","2.92 (1.44, 4.39)","1.52 (1.14, 1.82)","73.69 (69.80, 80.79)",1.21,78.27,78.38
"16","Jiangsu","1.16 (0.86, 1.44)","0.28 (0.23, 0.32)","1.20 (1.05, 1.45)","3.06 (2.54, 3.58)","1.35 (1.26, 1.45)","120.02 (115.94, 128.23)",194677.45,125.33,147.8
"17","Jiangxi","1.05 (0.31, 1.76)","0.37 (0.28, 0.46)","1.49 (1.30, 1.80)","4.11 (3.08, 5.08)","1.34 (1.18, 1.51)","159.88 (155.81, 168.18)",24.92,165.58,170.2
"18","Jilin","0.46 (0.01, 1.47)","0.50 (0.36, 0.62)","0.14 (0.12, 0.17)","5.53 (3.98, 6.91)","1.22 (0.93, 1.52)","89.90 (85.46, 98.32)",0.54,95.84,91.45
