"","Location","Kappa * 100","Beta","Effective population size (thousand)","R0","R(t)","Deviance","BF","DIC.BassSIR","DIC.SIR"
"1","Anhui","0.58 (0.25, 0.89)","0.48 (0.42, 0.54)","2.18 (1.92, 2.55)","2.67 (2.34, 3.02)","1.41 (1.34, 1.47)","142.50 (138.72, 149.87)",73.48,147.07,154.34
"2","Beijing","0.61 (0.05, 1.23)","0.43 (0.30, 0.53)","0.96 (0.75, 1.48)","2.37 (1.67, 2.94)","1.29 (1.14, 1.41)","128.58 (124.71, 136.46)",1.09,133.45,131.9
"3","Chongqing","1.03 (0.59, 1.47)","0.30 (0.22, 0.41)","2.11 (1.28, 4.03)","1.68 (1.24, 2.29)","1.14 (1.01, 1.26)","133.55 (129.26, 141.52)",952.35,138.65,150.78
"4","Fujian","1.36 (0.71, 2.04)","0.27 (0.19, 0.38)","1.23 (0.68, 2.52)","1.49 (1.03, 2.14)","1.02 (0.85, 1.18)","122.98 (119.26, 130.32)",3566.17,127.19,143.72
"5","Gansu","0.91 (0.28, 1.71)","0.33 (0.21, 0.49)","0.39 (0.21, 0.79)","1.83 (1.17, 2.72)","1.15 (0.92, 1.37)","101.48 (97.85, 108.63)",7.27,105.45,110.47
"6","Guangdong","0.71 (0.36, 1.02)","0.52 (0.48, 0.57)","2.56 (2.41, 2.73)","2.92 (2.67, 3.19)","1.23 (1.19, 1.27)","143.27 (139.45, 150.73)",647.53,147.77,159.7
"7","Guangxi Zhuang","0.80 (0.41, 1.22)","0.32 (0.24, 0.43)","0.95 (0.57, 1.88)","1.78 (1.32, 2.38)","1.23 (1.09, 1.38)","109.45 (105.75, 116.60)",59.75,113.49,121.67
"8","Guizhou","0.27 (0.04, 0.62)","0.41 (0.32, 0.53)","0.74 (0.35, 1.28)","2.26 (1.80, 2.96)","1.71 (1.50, 1.90)","108.00 (104.89, 114.32)",3.09,111.2,113.5
"9","Hainan","0.42 (0.10, 0.84)","0.33 (0.25, 0.44)","0.87 (0.44, 1.50)","1.82 (1.41, 2.43)","1.36 (1.17, 1.55)","109.48 (106.43, 116.44)",3.79,112.9,117.08
"10","Hebei","0.49 (0.25, 0.87)","0.31 (0.26, 0.40)","1.64 (0.87, 2.46)","1.74 (1.45, 2.20)","1.38 (1.22, 1.55)","123.39 (119.99, 130.71)",299.38,127.54,139.09
"11","Heilongjiang","0.34 (0.02, 0.88)","0.59 (0.43, 0.72)","0.84 (0.67, 1.25)","3.28 (2.37, 4.02)","1.59 (1.45, 1.73)","140.76 (136.46, 149.94)",0.65,147.04,143.17
"12","Henan","0.88 (0.56, 1.17)","0.46 (0.41, 0.52)","2.80 (2.52, 3.16)","2.58 (2.28, 2.91)","1.30 (1.24, 1.35)","148.61 (144.69, 156.57)",9095.97,153.61,170.42
"13","Hubei","0.26 (0.03, 0.50)","0.56 (0.50, 0.61)","76.89 (69.54, 87.53)","3.13 (2.78, 3.42)","1.61 (1.55, 1.67)","266.09 (262.14, 274.09)",3.7,271.11,271.91
"14","Hunan","0.97 (0.62, 1.29)","0.40 (0.32, 0.47)","2.80 (2.33, 3.59)","2.21 (1.80, 2.61)","1.21 (1.13, 1.29)","152.31 (148.13, 160.47)",5033.85,157.79,172.94
"15","Inner Mongolia","0.60 (0.08, 1.21)","0.39 (0.25, 0.54)","0.23 (0.13, 0.51)","2.15 (1.40, 2.98)","1.39 (1.16, 1.59)","73.60 (69.77, 80.46)",1.15,77.69,77.37
"16","Jiangsu","0.85 (0.61, 1.06)","0.40 (0.35, 0.46)","1.62 (1.36, 1.98)","2.23 (1.94, 2.55)","1.30 (1.24, 1.36)","120.06 (115.92, 128.51)",201342.54,125.61,147.93
"17","Jiangxi","0.81 (0.27, 1.34)","0.50 (0.38, 0.62)","1.92 (1.61, 2.60)","2.80 (2.12, 3.42)","1.33 (1.23, 1.44)","159.96 (155.77, 169.16)",24.18,165.92,169.41
"18","Jilin","0.38 (0.01, 1.14)","0.66 (0.50, 0.80)","0.17 (0.15, 0.21)","3.65 (2.77, 4.46)","1.33 (1.18, 1.49)","89.99 (85.45, 98.58)",0.53,95.89,91.74
"19","Liaoning","1.24 (0.45, 2.20)","0.30 (0.18, 0.48)","0.49 (0.24, 1.08)","1.67 (0.98, 2.70)","1.06 (0.81, 1.30)","106.30 (102.54, 114.08)",8.73,110.56,114.45
